,daa_mean,daa_std,negative_price_hours,rebap_std,rebap_abs_max,renewable_mwh,forecast_mae_mw,forecast_maxerr_mw,rebap_volatility,forecast_error,negative_prices,price_volatility,low_renewables
2025-12-20,103.05697916666666,13.868837153833987,0.0,27.32016936483491,153.34,231.8363117688908,1.279151981482864,3.969676219438316,False,False,False,False,True
2025-12-21,91.56906249999999,9.678405309214275,0.0,26.8606171849337,148.86,572.0669356776959,1.4333009084453572,3.520215019691726,False,False,False,False,False
2025-12-22,85.55427083333332,12.052558489174928,0.0,61.2473908443703,191.55,753.8968921333908,2.3699580262249347,4.93530144434995,True,False,False,False,False
2025-12-23,74.7309375,9.681279086261988,0.0,52.67592634834072,182.87,982.55206935182,2.1623556819375676,4.859474169054806,True,False,False,False,False
2025-12-24,69.38437499999999,10.93219869739729,0.0,25.624248660860157,121.23,1055.1795669166863,1.4064662789638434,4.0362017761992846,False,False,False,False,False
2025-12-25,69.75135416666666,18.898213629191677,0.0,27.505720159506016,183.59,714.9016756474676,4.2741075179324355,8.31947657975681,False,True,False,False,False
2025-12-26,97.53479166666666,14.221121467378392,0.0,22.47765623762998,158.21,416.5511414841128,1.0931461532627327,2.8617355045228585,False,False,False,False,True
2025-12-27,91.44416666666666,12.327409388116473,0.0,31.872904255041487,132.94,512.387158821897,1.3997370698125904,3.056004221766848,False,False,False,False,False
2025-12-28,92.76677083333334,12.355341160707892,0.0,31.236393070957046,151.5,410.2225477331842,1.0047235372454804,2.260395139558149,False,False,False,False,True
2025-12-29,94.34833333333334,10.6083335624509,0.0,30.724594541217662,156.71,684.951888326788,1.2391324260974859,2.8364951263526805,False,False,False,False,False
2025-12-30,87.75999999999999,14.35927219313941,0.0,53.03428237489783,276.03,635.121737298216,1.2421175387814347,4.175176545429814,True,False,False,False,False
2025-12-31,87.31374999999998,10.245541332086852,0.0,39.134089111100515,165.15,957.5184992968291,5.2804197956530565,10.025865724338544,False,True,False,False,False
2026-01-01,9.754166666666668,15.224030255560523,2.5,45.89284605149911,144.38,1447.133922346034,1.9178287692266773,6.179544342805755,False,False,True,False,False
2026-01-02,54.69041666666667,32.78244957025617,0.0,33.44477749400142,185.29,1346.4031077253521,4.025534663455536,7.941376322469964,False,True,False,True,False
2026-01-03,88.6715625,10.971371109251892,0.0,44.82631264296597,368.6,1016.3071192515922,2.1889009679741522,7.442447286862112,False,False,False,False,False
2026-01-04,94.43583333333333,12.296482954713333,0.0,40.39496079028006,182.64,743.5072275559517,1.3659295243397036,4.506086011846811,False,False,False,False,False
2026-01-05,134.41156249999997,39.26624022639457,0.0,265.792835145231,1431.95,414.7193717189133,1.5013168661875576,4.240773198805233,True,False,False,True,True
2026-01-06,127.42458333333332,23.512041946480437,0.0,174.27180267260673,1325.25,267.4603044332129,1.74865448637821,3.142336391019004,True,False,False,False,True
2026-01-07,99.39666666666666,12.639810921801358,0.0,35.90510348413714,174.55,869.7612891376152,1.417473087309516,4.0810641971538075,False,False,False,False,False
2026-01-08,154.1209375,70.44806009391667,0.0,322.62093527556704,2073.28,477.09097618659814,4.34065203977043,7.27917466875315,True,True,False,True,False
2026-01-09,78.7003125,13.363140805739137,0.0,146.8780057352019,1277.98,1300.4245167158565,2.4432351882624634,6.9322375575763004,True,False,False,False,False
2026-01-10,97.55666666666666,23.874174796675636,0.0,36.488586599646894,173.66,706.5152985580571,3.8392126604068486,6.762003966636534,False,True,False,False,False
2026-01-11,95.77593750000001,10.254920828774207,0.0,21.10162671043133,166.63,428.46046580985535,1.2359335019976827,2.820245723052601,False,False,False,False,False
2026-01-12,104.34937500000001,21.233126477889254,0.0,65.7580827057403,412.44,631.7997972424316,4.626255161848902,7.770077766545942,True,True,False,False,False
2026-01-13,105.70843749999999,19.370490030376804,0.0,40.06002189951778,241.78,630.8229668794422,2.315607522987644,4.015460930521726,False,False,False,False,False
2026-01-14,118.13895833333333,33.06856716478047,0.0,45.95245989391263,262.52,670.0759239140364,0.9951835697902002,2.9168809982484234,False,False,False,True,False
2026-01-15,101.46479166666666,16.391182714799154,0.0,34.607263248058196,192.07,732.0097327830695,2.9858438966865406,4.524188796709172,False,True,False,False,False
2026-01-16,109.72833333333331,31.19243296547346,0.0,38.181894730919986,195.49,738.9940969817221,0.8337667799906798,3.2760608449236344,False,False,False,True,False
2026-01-17,112.2578125,15.157099835495481,0.0,26.458645325424303,184.99,422.25325690378816,1.7468563180538155,4.009321395774052,False,False,False,False,False
2026-01-18,109.37260416666665,12.540071208994362,0.0,32.07849186126611,202.0,563.4333037866766,2.6774927168367277,4.514251371128566,False,True,False,False,False
2026-01-19,139.99479166666666,35.71839573254372,0.0,39.230716587228976,209.35,605.9431523260864,1.756187202481091,3.611129628560917,False,False,False,True,False
2026-01-20,156.17010416666668,60.3759067650125,0.0,84.31229529564969,723.61,400.32943526276034,2.5019220705969123,4.859760538638378,True,True,False,True,True
2026-01-21,116.99697916666666,23.33708672727238,0.0,35.01219215332725,231.49,560.5353915015562,3.4426236572260223,6.5377487467248265,False,True,False,False,False
2026-01-22,105.28072916666666,17.150783646138425,0.0,43.02585858248482,200.94,651.8051777379487,0.9829153825743203,2.517705096507431,False,False,False,False,False
2026-01-23,110.29312499999999,17.780388031978053,0.0,36.22320495262575,185.33,740.5534848360937,1.187319529003411,3.9167633493817817,False,False,False,False,False
2026-01-24,111.95552083333332,14.712265494434657,0.0,31.327646486197285,175.62,458.3245102652823,2.0232378050642303,3.6541948170754814,False,False,False,False,False
2026-01-25,111.92833333333333,11.218031306289394,0.0,41.62734492425271,220.13,400.4945602176963,1.8121660567820925,5.356293130602809,False,False,False,False,True
2026-01-26,141.3096875,32.194161817178546,0.0,47.4779568944849,228.61,383.89341073175655,4.567422266259052,5.873196216951165,False,True,False,True,True
2026-01-27,130.60614583333333,20.64213199430716,0.0,43.430852547783864,279.48,376.2507562678486,1.0219407880780405,3.126011899006354,False,False,False,False,True
2026-01-28,136.82791666666665,26.565354706077656,0.0,46.519082959751394,264.9,524.9812883475449,1.5249710272712294,2.351809759511326,False,False,False,True,False
2026-01-29,132.40229166666668,24.738659795919904,0.0,75.06784542414456,452.63,442.34979029319584,2.266475157638878,3.803917218444532,True,False,False,False,False
2026-01-30,113.68802083333333,15.219207205301442,0.0,43.42291303322743,246.47,545.2140636384349,4.945125181066384,6.66798860346487,False,True,False,False,False
2026-01-31,109.38927083333333,14.046735552314257,0.0,30.288221552823128,194.08,646.7032527159545,1.8680939658538194,3.7476665979303156,False,False,False,False,False
