,mean,median,daily_std,fold_std,worst_fold,cvar_revenue,mean_regret,median_regret,cvar_regret,p_beat_reference,upside_capture,downside_exposure,max_daily_loss_vs_reference,mean_regret_vs_milp,median_info_gap_pct,selection_score
ckpt_seed1_250k,54742.53811852248,56200.38842464193,18276.897602652003,8494.278985424336,42266.819149008596,21205.093940957122,-768.5581560167253,-80.40179119080494,-7724.532778270057,0.4782608695652174,624.5714380658595,1393.129594082585,12929.163104274805,-517.215910552134,-1.1221131811402065,46440.99269767111
ckpt_seed1_300k,53729.341950476926,55101.886461121816,18932.036311958425,8051.117158519653,41303.5507535934,18804.34413791543,-1781.7543240622924,-684.1525297158605,-11516.127332306341,0.34782608695652173,514.0907315616585,2295.8450556239513,28101.654599379006,-1530.412078597701,0.46325659686571846,43500.28112404836
ckpt_seed1_best,54779.82086957648,56086.33805123464,18246.548462784423,8458.251342415226,42510.88039991461,21249.286946472508,-731.2754049627272,-112.83948857140058,-6373.718506690298,0.4673913043478261,419.31668600226095,1150.592090964988,11119.683393037478,-479.9331594981358,-1.1482064424051937,47181.017093783026
ckpt_seed2_050k,56013.68753318139,56790.562628819884,17827.829295026324,9073.611703549144,43922.33810725737,24715.947308516952,502.5912586421887,86.13490457182706,-3723.904077520375,0.5434782608695652,1094.7461816485227,592.1549230063341,9303.29229742878,753.9335041067801,-2.109577284185158,49614.92964264663
ckpt_seed2_100k,55652.68571613236,56378.50916979856,17776.209466709657,9879.262162422965,43699.54859735833,22870.282991674263,141.5894415931444,190.3029238953386,-7707.415225894016,0.5652173913043478,1275.1128020388526,1133.523360445708,25098.690611555765,392.9316870577358,-1.740005985180796,46859.34702197387
ckpt_seed2_150k,55771.07109578451,56114.28221949427,18467.244185812928,10905.252722391053,41789.492533965444,21861.940994908742,259.9748212452786,-323.74702532728406,-7592.532543495731,0.41304347826086957,1769.277569850145,1509.302748604866,10952.44374999145,511.3170667098701,-1.2153042959236784,46522.17846284111
ckpt_seed2_200k,55109.629174184985,55486.39279956601,19090.4016548011,8356.483805941667,43014.98125251759,21397.114223405497,-401.46710035421364,103.15083601325387,-9680.615743174807,0.5108695652173914,1188.2459208168348,1589.7130211710482,28711.382057974373,-150.12485488962224,-1.704723840455076,45990.712624538195
ckpt_seed2_250k,54915.82312097621,54742.744661112985,19321.787171110464,8337.391454773056,43788.67256200648,19236.164121991016,-595.2731535630031,-38.36900849522317,-9665.7776976121,0.4891304347826087,1006.0459161715409,1601.319069734544,32610.532326826178,-343.9309080984116,-1.8476740576533721,45765.420256392885
ckpt_seed2_300k,55479.21008250477,56131.36866495677,19119.30472289789,8845.712607106998,43472.809483083074,19998.205033386228,-31.88619203444452,402.3932554991552,-7493.452797690025,0.5760869565217391,1196.7564389820648,1228.642631016509,27714.90875265735,219.45605343014685,-2.1105342723903275,47301.65583209765
ckpt_seed2_best,55109.629174184985,55486.39279956601,19090.4016548011,8356.483805941667,43014.98125251759,21397.114223405497,-401.46710035421364,103.15083601325387,-9680.615743174807,0.5108695652173914,1188.2459208168348,1589.7130211710482,28711.382057974373,-150.12485488962224,-1.704723840455076,45990.712624538195
ckpt_seed3_050k,55227.36648135365,55268.659039698025,18334.298091331886,9161.077523074633,42924.04929804904,22412.133544863496,-283.7297931855581,-241.83374276777977,-7039.867003415845,0.43478260869565216,915.0092638471704,1198.7390570327286,10389.92764500578,-32.3875477209668,-1.21592466031013,47055.96176981202
ckpt_seed3_100k,53392.57176177657,52998.306499690174,20065.322299517553,7241.997620473846,42608.16941421584,15274.326916926604,-2118.524512762648,-1104.2842922428317,-15409.547613118,0.33695652173913043,798.6866366623913,2917.211149425039,44063.821732338925,-1867.1822672980563,1.2784467961359283,41537.16801678998
ckpt_seed3_150k,53817.37437728376,54389.20621305,18785.909144901514,7771.575808283707,42448.13239827518,18845.003414329276,-1693.7218972554572,-746.9150714982825,-11617.887931506822,0.34782608695652173,658.8475980642695,2352.5694953197267,27827.936264967517,-1442.3796517908654,0.007023587561638714,43699.21203307463
ckpt_seed3_200k,54304.68610204635,55799.125775498585,18461.26323898888,8257.273771522461,42470.21463016537,19555.39641478666,-1206.4101724928755,-500.94919118573307,-8720.145585193868,0.358695652173913,489.3156111941802,1695.7257836870558,30656.015993341192,-955.0679270282842,-0.36844041049469023,45514.37388056496
ckpt_seed3_250k,53962.99333158873,54112.689746888514,19383.486919145096,8692.52921303031,41633.77377184249,18188.130015328046,-1548.1029429504706,-857.5846867849104,-11186.21918797381,0.32608695652173914,800.9784668381019,2349.0814097885723,34196.488895767274,-1296.7606974858788,0.8251097723444841,43636.59339534905
ckpt_seed3_300k,54479.995150142255,55041.53050595749,18692.58104557033,8063.104912029876,42219.31947405229,19707.36311234708,-1031.1011243969476,-371.4973976387291,-9152.819711681588,0.43478260869565216,559.3632492579459,1590.4643736548935,31974.30724946739,-779.7588789323562,-0.465887619028286,45614.25755718729
ckpt_seed3_best,54304.68610204635,55799.125775498585,18461.26323898888,8257.273771522461,42470.21463016537,19555.39641478666,-1206.4101724928755,-500.94919118573307,-8720.145585193868,0.358695652173913,489.3156111941802,1695.7257836870558,30656.015993341192,-955.0679270282842,-0.36844041049469023,45514.37388056496
ckpt_seed4_050k,54403.20512715929,55458.96390849957,19249.621999089006,7701.95555231253,43750.508655201644,18545.379301305566,-1107.8911473799208,-144.35860140858495,-12973.087570249865,0.43478260869565216,1191.7122987367004,2299.603446116621,44212.18840317008,-856.5489019153296,-0.8895244012869806,43788.71077903312
