candidate,fold,fold_start,fold_end,mean,median
ckpt_seed1_100k,3,2025-12-18,2026-01-01,51114.798245812104,52336.47623130417
ckpt_seed1_150k,3,2025-12-18,2026-01-01,52280.66680660924,50582.11218870233
ckpt_seed1_200k,3,2025-12-18,2026-01-01,52710.72809526456,51212.6603221712
ckpt_seed1_250k,3,2025-12-18,2026-01-01,53063.50048742617,52426.852903086074
ckpt_seed1_300k,3,2025-12-18,2026-01-01,52494.57627472482,51950.471004427236
ckpt_seed1_best,3,2025-12-18,2026-01-01,52710.72809526456,51212.6603221712
ckpt_seed2_050k,3,2025-12-18,2026-01-01,54483.84215222574,51336.64639492352
ckpt_seed2_100k,3,2025-12-18,2026-01-01,53724.148627864546,50081.135168309134
ckpt_seed2_150k,3,2025-12-18,2026-01-01,52507.67338532551,52147.461328039586
ckpt_seed2_200k,3,2025-12-18,2026-01-01,54584.713721450666,51697.51861399131
ckpt_seed2_250k,3,2025-12-18,2026-01-01,52960.119427209705,51570.354574280245
ckpt_seed2_300k,3,2025-12-18,2026-01-01,53100.27338897583,52045.74350465779
ckpt_seed2_best,3,2025-12-18,2026-01-01,54584.713721450666,51697.51861399131
ckpt_seed3_050k,3,2025-12-18,2026-01-01,54187.9362312839,52759.995561384676
ckpt_seed3_100k,3,2025-12-18,2026-01-01,51855.90708961326,52905.389726901354
ckpt_seed3_150k,3,2025-12-18,2026-01-01,52987.35077775279,51571.511205259005
ckpt_seed3_200k,3,2025-12-18,2026-01-01,53428.218446246,51974.78557904776
ckpt_seed3_250k,3,2025-12-18,2026-01-01,52581.57669348352,52311.99867381732
ckpt_seed3_300k,3,2025-12-18,2026-01-01,53531.25454043392,52705.70662715594
ckpt_seed3_best,3,2025-12-18,2026-01-01,53428.218446246,51974.78557904776
ckpt_seed4_050k,3,2025-12-18,2026-01-01,54109.18437224638,52805.18339414742
ckpt_seed4_100k,3,2025-12-18,2026-01-01,51632.42284171619,51684.54714787876
ckpt_seed4_150k,3,2025-12-18,2026-01-01,52437.43779791265,52576.58681797419
ckpt_seed4_200k,3,2025-12-18,2026-01-01,53130.328178728734,52985.53046602883
ckpt_seed4_250k,3,2025-12-18,2026-01-01,53387.157777565604,50659.74906558341
ckpt_seed4_300k,3,2025-12-18,2026-01-01,53153.13188888956,50913.19841987535
ckpt_seed4_best,3,2025-12-18,2026-01-01,53130.328178728734,52985.53046602883
baseline_do_nothing,4,2026-01-02,2026-01-16,64346.114151930065,64254.18237735025
baseline_milp_info,4,2026-01-02,2026-01-16,65274.95100681779,70053.23076028531
baseline_rule_based,4,2026-01-02,2026-01-16,66562.2458563818,66265.34232485064
ckpt_seed0_050k,4,2026-01-02,2026-01-16,69749.38493447397,68641.914941155
ckpt_seed0_100k,4,2026-01-02,2026-01-16,65560.65900319548,71409.22643758339
ckpt_seed0_150k,4,2026-01-02,2026-01-16,66925.19579730964,72125.26255745423
ckpt_seed0_200k,4,2026-01-02,2026-01-16,70521.38385067425,73539.6572611011
ckpt_seed0_250k,4,2026-01-02,2026-01-16,69421.3809683147,72979.53965406159
ckpt_seed0_300k,4,2026-01-02,2026-01-16,60567.849375634854,66468.52582906024
ckpt_seed0_best,4,2026-01-02,2026-01-16,70521.38385067425,73539.6572611011
ckpt_seed1_050k,4,2026-01-02,2026-01-16,59636.79132872284,67469.29845639778
ckpt_seed1_100k,4,2026-01-02,2026-01-16,64563.60478783165,67589.47410129792
ckpt_seed1_150k,4,2026-01-02,2026-01-16,63115.36887028071,72014.91518237314
ckpt_seed1_200k,4,2026-01-02,2026-01-16,64391.70043107904,66151.59122189633
ckpt_seed1_250k,4,2026-01-02,2026-01-16,64071.592241655904,67666.13583834513
ckpt_seed1_300k,4,2026-01-02,2026-01-16,61638.86963328564,67857.8151807639
ckpt_seed1_best,4,2026-01-02,2026-01-16,64391.70043107904,66151.59122189633
ckpt_seed2_050k,4,2026-01-02,2026-01-16,67735.20614744166,69194.4497460379
ckpt_seed2_100k,4,2026-01-02,2026-01-16,69678.95324689298,68966.61987391349
ckpt_seed2_150k,4,2026-01-02,2026-01-16,72557.45832860253,74771.62630667181
ckpt_seed2_200k,4,2026-01-02,2026-01-16,63649.56094934985,69009.11703614697
ckpt_seed2_250k,4,2026-01-02,2026-01-16,63505.741894610444,68833.00679345563
ckpt_seed2_300k,4,2026-01-02,2026-01-16,66116.59914944004,69198.1500077148
ckpt_seed2_best,4,2026-01-02,2026-01-16,63649.56094934985,69009.11703614697
ckpt_seed3_050k,4,2026-01-02,2026-01-16,67900.77872866782,72566.52843939455
ckpt_seed3_100k,4,2026-01-02,2026-01-16,60378.72617732952,67337.3145587081
ckpt_seed3_150k,4,2026-01-02,2026-01-16,61511.1842353452,67334.73900111488
ckpt_seed3_200k,4,2026-01-02,2026-01-16,63833.71951022287,67726.58462054793
ckpt_seed3_250k,4,2026-01-02,2026-01-16,64828.03948785442,67242.36190475186
ckpt_seed3_300k,4,2026-01-02,2026-01-16,63131.00012053582,67575.94247374509
ckpt_seed3_best,4,2026-01-02,2026-01-16,63833.71951022287,67726.58462054793
ckpt_seed4_050k,4,2026-01-02,2026-01-16,63474.01948857948,72673.6396386554
ckpt_seed4_100k,4,2026-01-02,2026-01-16,63595.50006573684,66862.47140819316
ckpt_seed4_150k,4,2026-01-02,2026-01-16,67606.65107060329,67152.112006723
ckpt_seed4_200k,4,2026-01-02,2026-01-16,65272.90548629151,72426.77750626871
ckpt_seed4_250k,4,2026-01-02,2026-01-16,63727.399412701874,68957.12459753358
ckpt_seed4_300k,4,2026-01-02,2026-01-16,61337.68585116844,66662.7825455967
ckpt_seed4_best,4,2026-01-02,2026-01-16,65272.90548629151,72426.77750626871
baseline_do_nothing,5,2026-01-17,2026-01-31,59666.7058072258,56002.85310353017
baseline_milp_info,5,2026-01-17,2026-01-31,63048.49540851019,62214.03219025994
baseline_rule_based,5,2026-01-17,2026-01-31,63553.71227833497,63216.140692787936
ckpt_seed0_050k,5,2026-01-17,2026-01-31,63558.92187746602,63341.869027609464
ckpt_seed0_100k,5,2026-01-17,2026-01-31,62822.18019531591,64242.4712766882
ckpt_seed0_150k,5,2026-01-17,2026-01-31,63444.55724372204,64248.26524533278
ckpt_seed0_200k,5,2026-01-17,2026-01-31,63599.386604778236,64444.23458326028
ckpt_seed0_250k,5,2026-01-17,2026-01-31,62219.82182585798,62148.34693597683
ckpt_seed0_300k,5,2026-01-17,2026-01-31,62430.84855242226,63135.09240541006
ckpt_seed0_best,5,2026-01-17,2026-01-31,63599.386604778236,64444.23458326028
ckpt_seed1_050k,5,2026-01-17,2026-01-31,63282.80352148676,62911.599595759086
ckpt_seed1_100k,5,2026-01-17,2026-01-31,61337.55903727162,58057.782672420704
ckpt_seed1_150k,5,2026-01-17,2026-01-31,61886.18096191986,58756.14008320232
ckpt_seed1_200k,5,2026-01-17,2026-01-31,63214.88946735188,64449.31201512509
ckpt_seed1_250k,5,2026-01-17,2026-01-31,63278.0972540693,62482.63118115294
ckpt_seed1_300k,5,2026-01-17,2026-01-31,61987.6798343656,60904.15974434763
ckpt_seed1_best,5,2026-01-17,2026-01-31,63214.88946735188,64449.31201512509
ckpt_seed2_050k,5,2026-01-17,2026-01-31,63854.88749985326,63119.235313426194
ckpt_seed2_100k,5,2026-01-17,2026-01-31,63392.13428240071,64038.93925465539
ckpt_seed2_150k,5,2026-01-17,2026-01-31,62335.19262863238,62257.59798191328
ckpt_seed2_200k,5,2026-01-17,2026-01-31,63670.867440427384,63473.44132123082
ckpt_seed2_250k,5,2026-01-17,2026-01-31,63863.08230388935,63888.76465375753
ckpt_seed2_300k,5,2026-01-17,2026-01-31,63485.92001132278,63847.914242625724
ckpt_seed2_best,5,2026-01-17,2026-01-31,63670.867440427384,63473.44132123082
ckpt_seed3_050k,5,2026-01-17,2026-01-31,62225.934875826286,60101.08295348008
ckpt_seed3_100k,5,2026-01-17,2026-01-31,61251.87522839345,58945.29505289462
ckpt_seed3_150k,5,2026-01-17,2026-01-31,62066.010101994914,60498.41693929734
ckpt_seed3_200k,5,2026-01-17,2026-01-31,62283.55757725573,59678.41886548739
ckpt_seed3_250k,5,2026-01-17,2026-01-31,61709.973394181216,58550.811112557596
ckpt_seed3_300k,5,2026-01-17,2026-01-31,62601.26536503251,60654.13553286332
ckpt_seed3_best,5,2026-01-17,2026-01-31,62283.55757725573,59678.41886548739
ckpt_seed4_050k,5,2026-01-17,2026-01-31,61581.94510415407,60537.051933696144
ckpt_seed4_100k,5,2026-01-17,2026-01-31,61689.55407146211,61159.71012629746
ckpt_seed4_150k,5,2026-01-17,2026-01-31,61298.460089109634,58486.184141224876
ckpt_seed4_200k,5,2026-01-17,2026-01-31,61385.06611355872,58141.51262668285
ckpt_seed4_250k,5,2026-01-17,2026-01-31,62957.25799892564,63453.36920951797
ckpt_seed4_300k,5,2026-01-17,2026-01-31,62307.48486752045,60552.36670973813
ckpt_seed4_best,5,2026-01-17,2026-01-31,61385.06611355872,58141.51262668285
